Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0402_1005Metric",-100.430000,-75.260000,270.000000,bottom
"C2","100nF","C_0402_1005Metric",-96.200000,-78.400000,90.000000,bottom
"C3","100nF","C_0402_1005Metric",-105.720000,-82.750000,270.000000,bottom
"C4","100nF","C_0402_1005Metric",-101.300000,-87.230000,180.000000,bottom
"C5","1uF","C_0805_2012Metric",-101.375000,-67.575000,270.000000,bottom
"C6","1uF","C_0805_2012Metric",-100.225000,-63.450000,0.000000,bottom
"D1","1N4148WS","D_SOD-323",-105.470000,-103.630000,180.000000,bottom
"D2","1N4148WS","D_SOD-323",-104.110000,-98.160000,180.000000,bottom
"D3","1N4148WS","D_SOD-323",-104.120000,-96.080000,180.000000,bottom
"D4","1N4148WS","D_SOD-323",-104.110000,-94.020000,180.000000,bottom
"D5","1N4148WS","D_SOD-323",-104.150000,-91.930000,180.000000,bottom
"D6","1N4148WS","D_SOD-323",-104.180000,-89.800000,180.000000,bottom
"D7","1N4148WS","D_SOD-323",-107.220000,-84.330000,90.000000,bottom
"D8","1N4148WS","D_SOD-323",-104.920000,-77.460000,90.000000,bottom
"D9","1N4148WS","D_SOD-323",-104.210000,-74.750000,180.000000,bottom
"D10","1N4148WS","D_SOD-323",-104.220000,-72.760000,180.000000,bottom
"D11","1N4148WS","D_SOD-323",-100.840000,-71.190000,180.000000,bottom
"D12","1N4148WS","D_SOD-323",-104.230000,-70.700000,180.000000,bottom
"D13","1N4148WS","D_SOD-323",-104.200000,-68.690000,180.000000,bottom
"D14","1N4148WS","D_SOD-323",-104.180000,-66.700000,180.000000,bottom
"D15","1N4148WS","D_SOD-323",-104.210000,-64.700000,180.000000,bottom
"D16","1N4148WS","D_SOD-323",-104.230000,-62.670000,180.000000,bottom
"D17","1N4148WS","D_SOD-323",-104.230000,-60.660000,180.000000,bottom
"D18","1N4148WS","D_SOD-323",-104.210000,-58.660000,180.000000,bottom
"FB1","Ferrite_Bead_Small","C_0805_2012Metric",-98.760000,-60.620000,180.000000,bottom
"R1","10K","R_0402_1005Metric",-102.412500,-110.575000,180.000000,bottom
"R2","10K","R_0402_1005Metric",-104.975000,-110.575000,180.000000,bottom
"R3","10K","R_0402_1005Metric",-99.850000,-110.575000,180.000000,bottom
"R4","3.3K","R_0402_1005Metric",-107.000000,-100.285000,0.000000,bottom
"R5","3.3K","R_0402_1005Metric",-107.000000,-97.749704,0.000000,bottom
"R6","3.3K","R_0402_1005Metric",-107.000000,-95.214410,0.000000,bottom
"R7","3.3K","R_0402_1005Metric",-107.000000,-92.679116,0.000000,bottom
"R8","3.3K","R_0402_1005Metric",-107.000000,-90.143822,0.000000,bottom
"R9","3.3K","R_0402_1005Metric",-107.000000,-87.608528,0.000000,bottom
"R10","3.3K","R_0402_1005Metric",-107.010000,-86.490000,0.000000,bottom
"R11","3.3K","R_0402_1005Metric",-106.980000,-81.090000,0.000000,bottom
"R12","3.3K","R_0402_1005Metric",-107.000000,-80.002646,0.000000,bottom
"R13","3.3K","R_0402_1005Metric",-107.000000,-77.467352,0.000000,bottom
"R14","3.3K","R_0402_1005Metric",-107.000000,-74.932058,0.000000,bottom
"R15","3.3K","R_0402_1005Metric",-107.000000,-72.396764,0.000000,bottom
"R16","3.3K","R_0402_1005Metric",-107.000000,-69.861470,0.000000,bottom
"R17","3.3K","R_0402_1005Metric",-107.000000,-67.326176,0.000000,bottom
"R18","3.3K","R_0402_1005Metric",-107.000000,-64.790882,0.000000,bottom
"R19","3.3K","R_0402_1005Metric",-107.000000,-62.255588,0.000000,bottom
"R20","3.3K","R_0402_1005Metric",-107.000000,-59.720294,0.000000,bottom
"R21","3.3K","R_0402_1005Metric",-107.025000,-58.525000,0.000000,bottom
"U1","XC6206","SOT-23",-98.450000,-66.525000,0.000000,bottom
