Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0402_1005Metric",148.300000,-107.350000,-90.000000,bottom
"C2","100nF","C_0402_1005Metric",153.600000,-112.875000,0.000000,bottom
"C3","100nF","C_0402_1005Metric",159.775000,-108.275000,90.000000,bottom
"C4","100nF","C_0402_1005Metric",154.825000,-101.375000,180.000000,bottom
"D1","D_Small","D_SOD-323",155.370000,-110.090000,180.000000,bottom
"D2","D_Small","D_SOD-323",155.370000,-108.140000,180.000000,bottom
"D3","D_Small","D_SOD-323",155.370000,-106.180000,180.000000,bottom
"D4","D_Small","D_SOD-323",155.370000,-104.230000,180.000000,bottom
"D5","D_Small","D_SOD-323",152.110000,-104.230000,0.000000,bottom
"D6","D_Small","D_SOD-323",152.110000,-106.180000,0.000000,bottom
"D7","D_Small","D_SOD-323",152.110000,-108.140000,0.000000,bottom
"D8","D_Small","D_SOD-323",152.110000,-110.090000,0.000000,bottom
"R1","10K","R_0402_1005Metric",154.100000,-119.900000,90.000000,bottom
"R2","10K","R_0402_1005Metric",156.560000,-119.870000,90.000000,bottom
"R3","10K","R_0402_1005Metric",151.425000,-119.925000,90.000000,bottom
"R4","3.3K","R_0402_1005Metric",160.200000,-112.890000,-90.000000,bottom
"R5","3.3K","R_0402_1005Metric",159.125000,-112.875000,-90.000000,bottom
"R6","3.3K","R_0402_1005Metric",158.050000,-112.890000,-90.000000,bottom
"R7","3.3K","R_0402_1005Metric",156.975000,-112.900000,-90.000000,bottom
"R8","3.3K","R_0402_1005Metric",150.925000,-112.875000,-90.000000,bottom
"R9","3.3K","R_0402_1005Metric",149.875000,-112.875000,-90.000000,bottom
"R10","3.3K","R_0402_1005Metric",149.175000,-111.300000,180.000000,bottom
"R11","3.3K","R_0402_1005Metric",148.375000,-110.175000,180.000000,bottom
